concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
459,03/05/2003,8,15,17,39,43,49,0,0.0,"Caminhão da Sorte em Morretes, PR"
460,07/05/2003,19,23,30,37,49,55,0,0.0,"Caminhão da Sorte em Uberaba, MG"
461,10/05/2003,15,17,20,29,30,60,0,0.0,"Caminhão da Sorte em Uberaba, MG"
462,14/05/2003,17,19,22,26,27,48,0,0.0,"Caminhão da Sorte em Fernandópolis, SP"
463,17/05/2003,2,3,7,18,45,53,0,0.0,"Caminhão da Sorte em Guaíra, SP"
464,21/05/2003,6,24,33,38,45,50,1,28414544.43,"Caminhão da Sorte em Nova Friburgo, RJ"
465,24/05/2003,1,22,31,46,51,57,0,0.0,"Caminhão da Sorte em Nova Friburgo, RJ"
466,28/05/2003,11,16,28,29,30,45,0,0.0,"Caminhão da Sorte em Juiz de Fora, MG"
467,31/05/2003,8,18,21,22,38,60,0,0.0,"Caminhão da Sorte em Juiz de Fora, MG"
468,04/06/2003,5,6,23,25,39,51,0,0.0,"Caminhão da Sorte em Americana, SP"
469,07/06/2003,13,21,26,29,42,47,2,2596432.92,"Caminhão da Sorte em Santa Bárbara D Oeste, SP"
470,11/06/2003,8,11,23,37,51,58,0,0.0,"Caminhão da Sorte em Pelotas, RS"
