concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,premio_6_acertos,acumulado,local
2429,17/11/2021,11,37,53,55,56,60,0,0.0,False,"ESPAÇO DA SORTE em SÃO PAULO, SP"
2430,20/11/2021,19,26,39,45,46,56,1,39690444.5,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2431,24/11/2021,08,11,22,25,26,36,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2432,27/11/2021,07,29,38,40,44,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2433,01/12/2021,08,09,32,52,53,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2434,04/12/2021,01,02,14,28,40,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2435,07/12/2021,05,22,30,32,33,36,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2436,09/12/2021,05,15,28,32,38,54,1,39405657.46,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2437,11/12/2021,01,19,41,46,48,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2438,15/12/2021,04,11,19,25,37,55,1,6549381.39,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2439,18/12/2021,02,08,34,38,47,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2440,31/12/2021,12,15,23,32,33,46,2,189062363.74,True,"ESTÚDIO DE TV REDE GLOBO/SP em SÃO PAULO, SP"
2441,05/01/2022,09,41,42,46,47,54,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2442,08/01/2022,02,07,09,25,41,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2443,12/01/2022,01,05,12,13,17,31,2,5259397.57,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2444,15/01/2022,15,17,20,35,37,43,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2445,19/01/2022,11,25,32,37,47,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2446,22/01/2022,01,13,27,41,51,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2447,25/01/2022,13,19,29,42,49,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2448,27/01/2022,18,30,32,35,40,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2449,29/01/2022,14,20,21,31,49,52,1,36777767.1,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2450,02/02/2022,02,06,11,15,17,39,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2451,05/02/2022,13,26,31,46,51,60,1,26422347.01,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2452,09/02/2022,08,10,51,56,57,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2453,12/02/2022,10,14,15,24,34,44,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2454,16/02/2022,09,14,22,24,44,47,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2455,19/02/2022,21,38,50,53,56,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
